Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
1,69000.0,7000.0,Unemployed,61.0,Single,3.0,583.0,2.0,0.954,120000.0,8990000.0,6835000.0,240.0,Business,Semiurban,Graduate,Male,Private,No
2,25000.0,0.0,Self-employed,47.0,Single,2.0,586.0,1.0,0.729,0.0,1050000.0,855000.0,72.0,Car,Semiurban,Graduate,Male,Private,No
3,96500.0,44000.0,Salaried,44.0,Married,4.0,783.0,1.0,0.096,255000.0,305000.0,515000.0,84.0,Business,Semiurban,Not Graduate,Female,Other,Yes
4,111500.0,58500.0,Salaried,30.0,Single,2.0,697.0,5.0,0.165,905000.0,190000.0,245000.0,48.0,Personal,Semiurban,Not Graduate,Male,Private,Yes
5,15000.0,7500.0,Self-employed,57.0,Married,2.0,697.0,2.0,1.5,140000.0,11725000.0,9140000.0,180.0,Business,Urban,Not Graduate,Female,Public,No
6,20500.0,5000.0,Self-employed,55.0,Married,1.0,617.0,2.0,1.5,260000.0,13215000.0,12875000.0,180.0,Home,Urban,Not Graduate,Female,Private,No
7,60500.0,2000.0,Salaried,34.0,Married,0.0,697.0,0.0,0.897,395000.0,4900000.0,5810000.0,240.0,Home,Semiurban,Graduate,Female,Private,No
8,43500.0,10500.0,Self-employed,54.0,Married,0.0,616.0,3.0,0.142,155000.0,25000.0,125000.0,48.0,Personal,Rural,Not Graduate,Female,Private,No
9,54500.0,7500.0,Salaried,53.0,Single,2.0,767.0,0.0,0.643,455000.0,7005000.0,4545000.0,360.0,Home,Rural,Not Graduate,Male,Government,Yes
10,29000.0,9500.0,Salaried,25.0,Married,2.0,850.0,0.0,0.389,390000.0,540000.0,705000.0,60.0,Personal,Rural,Graduate,Male,Government,Yes
11,106500.0,15500.0,Contract,28.0,Single,1.0,721.0,1.0,0.156,520000.0,1000000.0,1020000.0,120.0,Education,Urban,Graduate,Male,Private,Yes
12,98500.0,37500.0,Salaried,47.0,Single,2.0,649.0,2.0,0.261,765000.0,2405000.0,2155000.0,360.0,Home,Urban,Graduate,Female,Public,Yes
13,58000.0,19000.0,Salaried,49.0,Single,0.0,525.0,4.0,0.514,620000.0,760000.0,710000.0,36.0,Car,Semiurban,Not Graduate,Male,Private,No
14,128000.0,53000.0,Self-employed,50.0,Married,0.0,581.0,3.0,0.288,930000.0,1680000.0,2030000.0,360.0,Home,Semiurban,Not Graduate,Female,Private,No
15,78000.0,0.0,Self-employed,37.0,Married,4.0,791.0,1.0,0.158,60000.0,410000.0,400000.0,60.0,Education,Semiurban,Not Graduate,Male,Private,Yes
16,29000.0,3500.0,Salaried,58.0,Single,1.0,623.0,1.0,1.5,125000.0,15135000.0,11175000.0,360.0,Home,Rural,Graduate,Male,Government,Yes
17,72500.0,26000.0,Self-employed,41.0,Single,0.0,666.0,3.0,0.422,590000.0,1835000.0,1595000.0,60.0,Car,Semiurban,Graduate,Male,Private,No
18,27000.0,1500.0,Salaried,30.0,Married,1.0,733.0,2.0,0.726,5000.0,655000.0,750000.0,48.0,Car,Semiurban,Graduate,Female,Public,No
19,106500.0,53500.0,Self-employed,26.0,Married,1.0,786.0,0.0,0.109,1040000.0,60000.0,685000.0,48.0,Personal,Rural,Graduate,Male,Public,Yes
20,53000.0,4500.0,Salaried,60.0,Single,2.0,677.0,1.0,0.791,620000.0,4205000.0,4875000.0,360.0,Home,Urban,Graduate,Male,Public,No
21,48000.0,12000.0,Unemployed,52.0,Single,4.0,664.0,2.0,1.5,0.0,24220000.0,15000000.0,300.0,Home,Rural,Graduate,Male,Private,No
22,33000.0,0.0,Self-employed,41.0,Single,2.0,695.0,5.0,1.5,300000.0,185000.0,1095000.0,24.0,Personal,Semiurban,Graduate,Male,Private,No
23,137500.0,0.0,Salaried,30.0,Single,2.0,649.0,2.0,0.867,990000.0,11555000.0,7115000.0,120.0,Home,Urban,Graduate,Female,Public,No
24,49000.0,9500.0,Salaried,25.0,Married,1.0,653.0,0.0,0.562,745000.0,3850000.0,3615000.0,300.0,Home,Rural,Not Graduate,Male,Government,Yes
25,40000.0,9500.0,Salaried,27.0,Married,2.0,717.0,3.0,0.395,480000.0,695000.0,680000.0,60.0,Car,Rural,Graduate,Male,Government,No
26,42000.0,12500.0,Self-employed,25.0,Single,1.0,702.0,1.0,1.5,135000.0,12035000.0,11335000.0,240.0,Home,Rural,Graduate,Male,Private,No
27,82000.0,50500.0,Self-employed,44.0,Single,0.0,829.0,4.0,0.554,705000.0,5180000.0,6095000.0,240.0,Home,Urban,Graduate,Male,Public,Yes
28,72500.0,33000.0,Self-employed,29.0,Married,3.0,719.0,1.0,0.08,770000.0,140000.0,235000.0,60.0,Personal,Urban,Not Graduate,Male,Private,Yes
29,75000.0,17500.0,Contract,26.0,Single,1.0,765.0,1.0,0.268,250000.0,305000.0,750000.0,48.0,Personal,Semiurban,Not Graduate,Male,Other,Yes
30,76000.0,27000.0,Salaried,33.0,Married,1.0,620.0,2.0,0.618,495000.0,505000.0,1060000.0,24.0,Personal,Urban,Graduate,Male,Private,No
31,274000.0,116000.0,Self-employed,52.0,Married,0.0,724.0,1.0,0.071,765000.0,245000.0,230000.0,60.0,Car,Urban,Not Graduate,Male,Private,Yes
32,40500.0,6500.0,Salaried,43.0,Single,3.0,643.0,1.0,0.257,0.0,440000.0,495000.0,60.0,Car,Semiurban,Graduate,Male,Private,Yes
33,37500.0,0.0,Self-employed,27.0,Married,0.0,716.0,2.0,0.411,510000.0,430000.0,695000.0,84.0,Personal,Urban,Graduate,Female,Public,Yes
34,30000.0,0.0,Salaried,54.0,Married,1.0,735.0,3.0,0.321,95000.0,65000.0,90000.0,60.0,Personal,Semiurban,Graduate,Male,Private,Yes
35,87500.0,36000.0,Self-employed,43.0,Single,3.0,693.0,3.0,0.166,660000.0,695000.0,780000.0,240.0,Home,Semiurban,Graduate,Female,Other,Yes
